CAMSID,SAP1_match
2,2
5,1
6,1
7,1
11,1
15,2
19,1
20,2
21,1
24,2
27,2
37,1
46,1
49,1
52,2
54,1
60,2
61,1
66,1
76,2
77,2
82,1
87,2
88,1
96,1
103,2
117,1
118,1
122,1
123,2
124,1
125,1
126,1
130,1
137,1
139,1
140,1
142,2
143,1
147,2
151,2
154,2
155,1
156,2
157,2
159,1
166,1
174,1
179,1
184,1
185,2
186,2
187,1
188,2
189,2
190,1
196,1
199,1
203,2
204,1
207,1
208,1
209,1
213,2
214,2
215,1
218,1
219,2
220,2
222,1
225,1
230,1
238,1
241,2
242,1
243,2
246,1
248,1
249,2
255,1
256,1
257,1
263,1
264,1
269,1
270,2
281,2
284,1
285,2
286,1
287,1
288,2
292,1
296,2
297,1
300,1
305,1
306,1
318,1
319,2
325,1
326,1
327,1
332,1
337,2
338,1
343,1
344,1
346,1
349,1
352,2
353,2
368,2
369,1
370,1
375,1
376,2
377,2
380,1
384,1
386,1
403,1
408,1
411,2
412,2
413,1
415,1
417,2
421,1
424,1
427,1
428,1
434,1
436,2
437,1
438,1
439,1
440,2
441,1
448,1
452,1
453,1
455,1
466,1
467,1
469,1
471,1
474,2
476,1
480,1
484,2
489,1
490,1
491,2
492,2
493,1
494,1
495,2
496,1
497,1
498,1
501,1
505,1
508,1
517,1
518,2
519,1
520,1
522,2
524,1
526,2
527,1
527,2
529,1
533,1
534,2
537,1
544,2
545,2
547,1
548,1
549,2
552,1
556,2
561,1
565,2
566,1
567,1
568,1
573,1
577,1
578,1
579,1
583,1
586,1
589,1
598,1
599,1
600,2
601,2
606,1
611,1
612,2
616,2
617,2
631,2
634,1
639,2
643,2
644,1
645,2
656,1
660,1
662,1
665,1
667,1
671,2
673,1
676,1
677,2
678,1
682,1
683,1
688,1
689,1
689,1
693,1
696,1
698,2
699,1
702,1
705,1
706,2
707,1
715,1
716,1
718,2
723,2
728,1
729,1
730,1
735,1
737,2
