camsid,radio_maxflux,fitsfile_max
501,1.1e+04,2020-08-13T01:29:04.3_16B.fits
505,2.5e+04,2020-08-13T01:31:08.1_16B.fits
507,9.0e+03,2020-08-13T01:32:00.4_16B.fits
509,6.9e+03,2020-08-13T01:32:24.6_16B.fits
511,2.7e+04,2020-08-13T01:32:38.7_16B.fits
514,8.6e+03,2020-08-13T01:35:22.8_16B.fits
515,8.6e+03,2020-08-13T01:35:22.8_16B.fits
516,8.0e+03,2020-08-13T01:35:18.7_16B.fits
517,3.7e+04,2020-08-13T01:35:59.0_15B.fits
524,1.1e+04,2020-08-13T01:40:47.9_16B.fits
527,1.2e+06,2020-08-13T01:41:44.3_12B.fits
528,1.2e+06,2020-08-13T01:41:44.3_12B.fits
529,4.2e+03,2020-08-13T01:41:54.3_14B.fits
535,1.6e+03,2020-08-13T01:43:32.0_15B.fits
536,4.0e+03,2020-08-13T01:43:44.1_15B.fits
537,2.6e+03,2020-08-13T01:44:12.2_15B.fits
545,1.1e+05,2020-08-13T01:46:40.2_14B.fits
546,1.1e+03,2020-08-13T01:46:24.1_15B.fits
548,3.3e+03,2020-08-13T01:46:34.2_15B.fits
549,7.9e+04,2020-08-13T01:47:24.5_15B.fits
554,2.5e+03,2020-08-13T01:50:16.6_16B.fits
556,4.2e+05,2020-08-13T01:51:50.3_15B.fits
561,6.2e+03,2020-08-13T01:55:43.8_16B.fits
565,2.9e+04,2020-08-13T01:58:11.8_16B.fits
573,2.8e+04,2020-08-13T02:01:01.9_16B.fits
579,1.1e+05,2020-08-13T02:02:54.6_16B.fits
589,2.0e+05,2020-08-13T02:10:11.5_15B.fits
591,1.8e+03,2020-08-13T02:10:43.7_14B.fits
596,8.7e+03,2020-08-13T02:14:32.2_15B.fits
598,4.0e+03,2020-08-13T02:15:21.6_15B.fits
600,4.7e+04,2020-08-13T02:17:06.2_14B.fits
601,9.1e+04,2020-08-13T02:17:06.2_14B.fits
612,1.7e+05,2020-08-13T02:21:28.0_14B.fits
614,5.9e+03,2020-08-13T02:22:56.6_14B.fits
616,1.0e+04,2020-08-13T02:23:00.6_13B.fits
617,1.1e+04,2020-08-13T02:23:06.6_13B.fits
622,7.9e+02,2020-08-13T02:24:21.1_15B.fits
635,1.1e+04,2020-08-13T02:27:03.2_15B.fits
638,1.8e+05,2020-08-13T02:28:11.6_16B.fits
639,7.1e+05,2020-08-13T02:28:17.7_16B.fits
641,6.4e+03,2020-08-13T02:29:26.1_15B.fits
643,4.5e+04,2020-08-13T02:29:42.2_16B.fits
644,7.2e+04,2020-08-13T02:30:01.4_16B.fits
645,5.5e+04,2020-08-13T02:30:21.5_16B.fits
647,6.2e+04,2020-08-13T02:30:41.6_15B.fits
659,1.8e+05,2020-08-13T02:38:10.6_14B.fits
661,4.4e+03,2020-08-13T02:39:20.0_16B.fits
671,2.8e+04,2020-08-13T02:44:44.2_16B.fits
675,6.1e+02,2020-08-13T02:46:31.9_16B.fits
677,5.1e+04,2020-08-13T02:48:23.6_16B.fits
678,3.8e+03,2020-08-13T02:48:51.8_16B.fits
679,2.3e+04,2020-08-13T02:49:01.9_15B.fits
682,9.1e+02,2020-08-13T02:50:00.3_16B.fits
683,1.3e+04,2020-08-13T02:50:16.4_16B.fits
