camsid,x0,x1,xbeg,xend,hbeg_radio,hend_radio,fitsfile_with_detection_beg,fitsfile_with_detection_end
295,220.218,271.614,251.153,265.669,100.677,96.499,2020-08-12T23:29:44.1_16B.fits,2020-08-12T23:29:44.1_16B.fits
296,227.207,265.934,246.315,278.573,102.925,88.712,2020-08-12T23:30:08.2_14B.fits,2020-08-12T23:30:08.2_14B.fits
297,238.918,257.023,241.476,255.185,90.121,85.261,2020-08-12T23:31:02.6_15B.fits,2020-08-12T23:31:02.6_15B.fits
309,149.160,332.271,210.831,339.863,105.543,78.862,2020-08-12T23:36:08.6_14B.fits,2020-08-12T23:36:08.6_14B.fits
315,235.858,259.382,246.315,267.282,102.499,92.879,2020-08-12T23:39:05.8_16B.fits,2020-08-12T23:39:05.8_16B.fits
317,205.485,283.701,249.540,269.702,101.325,97.200,2020-08-12T23:42:41.2_16B.fits,2020-08-12T23:42:41.2_16B.fits
319,204.925,282.146,229.379,300.347,105.483,70.237,2020-08-12T23:44:07.8_16B.fits,2020-08-12T23:44:07.8_16B.fits
320,236.412,258.877,246.315,265.669,102.081,92.772,2020-08-12T23:45:46.4_16B.fits,2020-08-12T23:45:46.4_16B.fits
323,233.141,261.379,256.798,279.379,101.185,93.011,2020-08-12T23:46:42.8_16B.fits,2020-08-12T23:46:42.8_16B.fits
325,214.009,276.155,232.605,244.702,101.682,98.079,2020-08-12T23:48:47.6_15B.fits,2020-08-12T23:48:47.6_15B.fits
327,208.448,279.390,264.863,295.508,89.834,82.038,2020-08-12T23:51:04.5_16B.fits,2020-08-12T23:51:04.5_16B.fits
329,232.077,262.370,247.927,261.637,99.997,96.254,2020-08-12T23:52:21.0_14B.fits,2020-08-12T23:52:21.0_14B.fits
332,189.171,296.001,256.798,312.444,103.175,85.693,2020-08-12T23:54:01.7_15B.fits,2020-08-12T23:54:03.7_15B.fits
333,157.628,333.334,218.089,307.605,103.847,89.171,2020-08-12T23:57:41.1_14B.fits,2020-08-12T23:57:41.1_14B.fits
344,227.679,265.763,235.831,273.734,106.712,88.063,2020-08-13T00:05:04.0_12B.fits,2020-08-13T00:05:08.1_12B.fits
346,231.661,262.802,249.540,266.476,98.859,95.066,2020-08-13T00:07:03.8_14B.fits,2020-08-13T00:07:03.8_14B.fits
351,184.888,306.710,253.573,315.669,103.302,92.913,2020-08-13T00:11:00.4_14B.fits,2020-08-13T00:11:00.4_14B.fits
352,210.523,278.749,254.379,316.476,106.279,82.731,2020-08-13T00:11:26.6_15B.fits,2020-08-13T00:11:32.6_14B.fits
353,165.187,316.708,274.540,295.508,104.866,99.114,2020-08-13T00:11:44.7_13B.fits,2020-08-13T00:11:44.7_13B.fits
360,231.314,263.127,247.927,282.605,100.846,89.716,2020-08-13T00:15:55.3_14B.fits,2020-08-13T00:15:55.3_14B.fits
362,216.152,274.267,282.605,293.895,96.911,95.160,2020-08-13T00:16:39.6_14B.fits,2020-08-13T00:16:39.6_14B.fits
368,237.025,258.450,246.315,264.056,101.064,91.875,2020-08-13T00:23:14.2_14B.fits,2020-08-13T00:23:14.2_14B.fits
369,234.091,260.687,240.669,268.089,102.937,87.874,2020-08-13T00:23:54.5_13B.fits,2020-08-13T00:23:54.5_13B.fits
370,221.253,270.844,255.992,264.056,96.306,93.412,2020-08-13T00:24:07.6_13B.fits,2020-08-13T00:24:07.6_13B.fits
373,211.249,279.859,265.669,270.508,95.054,93.811,2020-08-13T00:25:30.1_13B.fits,2020-08-13T00:25:30.1_13B.fits
374,195.874,290.307,250.347,272.121,100.107,92.831,2020-08-13T00:25:58.3_13B.fits,2020-08-13T00:25:58.3_13B.fits
377,214.282,274.233,251.960,256.798,102.740,101.211,2020-08-13T00:26:50.7_13B.fits,2020-08-13T00:26:50.7_13B.fits
385,229.169,264.812,248.734,252.766,99.827,98.041,2020-08-13T00:30:50.2_14B.fits,2020-08-13T00:30:50.2_14B.fits
391,211.804,279.138,251.960,267.282,100.089,97.175,2020-08-13T00:33:57.5_14B.fits,2020-08-13T00:33:57.5_14B.fits
393,232.489,262.264,254.379,275.347,99.526,93.486,2020-08-13T00:34:55.9_13B.fits,2020-08-13T00:34:55.9_13B.fits
404,215.366,275.939,260.831,264.056,95.439,94.535,2020-08-13T00:40:32.1_14B.fits,2020-08-13T00:40:32.1_14B.fits
416,238.565,257.271,245.508,254.379,102.668,98.885,2020-08-13T00:45:26.0_14B.fits,2020-08-13T00:45:26.0_14B.fits
417,190.128,300.595,228.573,259.218,101.834,96.275,2020-08-13T00:45:52.2_12B.fits,2020-08-13T00:45:52.2_12B.fits
418,240.299,255.865,248.734,258.411,100.072,95.251,2020-08-13T00:46:12.3_12B.fits,2020-08-13T00:46:12.3_12B.fits
419,174.797,312.462,251.960,271.315,96.845,92.860,2020-08-13T00:46:18.3_12B.fits,2020-08-13T00:46:18.3_12B.fits
436,214.216,276.629,250.347,289.056,100.759,86.397,2020-08-13T00:56:44.5_13B.fits,2020-08-13T00:56:44.5_13B.fits
437,226.532,266.658,267.282,280.992,97.801,91.774,2020-08-13T00:57:51.9_14B.fits,2020-08-13T00:57:51.9_14B.fits
438,218.437,273.572,257.605,261.637,103.015,102.166,2020-08-13T00:58:16.1_14B.fits,2020-08-13T00:58:16.1_14B.fits
440,209.218,279.576,239.056,285.024,101.897,85.403,2020-08-13T00:59:36.6_13B.fits,2020-08-13T00:59:36.6_13B.fits
446,242.588,254.091,250.347,256.798,103.262,100.047,2020-08-13T01:01:48.5_16B.fits,2020-08-13T01:01:48.5_16B.fits
447,215.259,276.668,241.476,287.444,103.218,89.025,2020-08-13T01:02:16.7_16B.fits,2020-08-13T01:02:16.7_16B.fits
448,240.608,255.644,244.702,256.798,105.835,99.319,2020-08-13T01:02:22.7_16B.fits,2020-08-13T01:02:22.7_16B.fits
452,212.632,278.163,260.024,284.218,98.528,92.534,2020-08-13T01:05:41.0_16B.fits,2020-08-13T01:05:41.0_16B.fits
454,221.409,271.612,239.863,265.669,100.325,94.152,2020-08-13T01:08:28.1_15B.fits,2020-08-13T01:08:28.1_15B.fits
455,219.341,273.004,257.605,279.379,97.360,91.099,2020-08-13T01:08:56.3_14B.fits,2020-08-13T01:08:56.3_14B.fits
456,237.420,258.140,251.960,267.282,102.516,93.280,2020-08-13T01:09:57.7_16B.fits,2020-08-13T01:09:57.7_16B.fits
463,231.978,262.481,246.315,249.540,107.048,105.835,2020-08-13T01:13:50.2_15B.fits,2020-08-13T01:13:50.2_15B.fits
471,234.675,260.303,243.089,266.476,102.209,89.458,2020-08-13T01:15:46.0_15B.fits,2020-08-13T01:15:46.0_15B.fits
478,224.108,268.766,253.573,268.895,100.004,94.866,2020-08-13T01:20:20.8_16B.fits,2020-08-13T01:20:20.8_16B.fits
480,223.953,268.607,263.250,275.347,97.844,92.119,2020-08-13T01:20:22.8_16B.fits,2020-08-13T01:20:22.8_16B.fits
481,218.994,274.235,264.863,279.379,89.962,87.697,2020-08-13T01:21:13.2_16B.fits,2020-08-13T01:21:13.2_16B.fits
484,222.789,269.436,263.250,285.831,99.486,86.185,2020-08-13T01:22:59.9_16B.fits,2020-08-13T01:22:59.9_16B.fits
485,216.664,278.093,249.540,274.540,105.197,97.338,2020-08-13T01:23:13.9_16B.fits,2020-08-13T01:23:13.9_16B.fits
486,243.165,253.711,252.766,261.637,84.122,81.712,2020-08-13T01:23:20.0_16B.fits,2020-08-13T01:23:20.0_16B.fits
489,232.574,261.902,241.476,268.895,103.276,85.984,2020-08-13T01:25:33.9_15B.fits,2020-08-13T01:25:33.9_15B.fits
490,237.229,258.303,247.927,263.250,100.394,91.667,2020-08-13T01:25:41.9_14B.fits,2020-08-13T01:25:41.9_14B.fits
491,193.762,294.650,244.702,294.702,103.133,91.423,2020-08-13T01:25:48.0_14B.fits,2020-08-13T01:25:48.0_14B.fits
492,185.582,303.725,258.411,335.024,105.476,86.801,2020-08-13T01:25:48.0_14B.fits,2020-08-13T01:25:48.0_14B.fits
495,210.156,279.590,255.992,287.444,101.015,89.621,2020-08-13T01:25:50.0_14B.fits,2020-08-13T01:25:50.0_14B.fits
497,233.910,260.689,237.444,247.121,104.718,101.600,2020-08-13T01:25:58.0_16B.fits,2020-08-13T01:25:58.0_16B.fits
501,211.976,280.715,255.185,293.089,101.732,88.955,2020-08-13T01:29:02.2_16B.fits,2020-08-13T01:29:02.2_16B.fits
505,235.841,259.493,239.056,247.121,95.593,93.693,2020-08-13T01:31:08.1_16B.fits,2020-08-13T01:31:08.1_16B.fits
507,224.134,270.539,266.476,268.895,100.850,100.184,2020-08-13T01:32:00.4_16B.fits,2020-08-13T01:32:00.4_16B.fits
509,228.478,265.350,266.476,270.508,100.030,98.726,2020-08-13T01:32:24.6_16B.fits,2020-08-13T01:32:24.6_16B.fits
511,229.794,264.238,253.573,265.669,99.389,94.356,2020-08-13T01:32:38.7_16B.fits,2020-08-13T01:32:38.7_16B.fits
514,199.115,289.717,252.766,284.218,100.349,89.010,2020-08-13T01:35:10.7_16B.fits,2020-08-13T01:35:10.7_16B.fits
515,209.569,280.399,235.831,276.960,103.047,89.286,2020-08-13T01:35:10.7_16B.fits,2020-08-13T01:35:10.7_16B.fits
516,237.404,258.182,251.960,264.056,100.005,93.035,2020-08-13T01:35:16.7_16B.fits,2020-08-13T01:35:16.7_16B.fits
517,223.903,268.622,265.669,279.379,101.406,93.580,2020-08-13T01:35:38.9_16B.fits,2020-08-13T01:35:38.9_16B.fits
524,223.927,268.469,230.992,262.444,108.892,97.603,2020-08-13T01:40:45.9_16B.fits,2020-08-13T01:40:49.9_16B.fits
